WARNING: Found unrecognized keyword args. These are ignored.
  --gamma1
Dataset Summary:
X Data
  total size: 5000 units
  batch size: 1000 units
  num. batches: 5
Allocation Model:  DP mixture with K=0. Concentration gamma0= 5.00
Obs. Data  Model:  Gaussian with full covariance.
Obs. Data  Prior:  Gauss-Wishart on mean and covar of each cluster
  E[  mean[k] ] = 
   [0. 0.]  ...
  E[ covar[k] ] = 
  [[0.1 0. ]
   [0.  0.1]] ...
Initialization:
  initname = randexamples
  K = 1 (number of clusters)
  seed = 1607680
  elapsed_time: 0.0 sec
Learn Alg: memoVB | task  1/1 | alg. seed: 1607680 | data order seed: 8541952
task_output_path: /home/zifeng/Research/DPVAE/mnist_results_new8/Kmax50mnistepoch10batch_iter3scale0.005bs5000rep2sf0.1/1
    0.200/300 after      0 sec. |   1225.2 MiB | K    1 | loss  2.857691383e+00 |  
   14.000/300 after      2 sec. |   1606.4 MiB | K   12 | loss  1.160827636e+00 | Ndiff    0.072 
   15.000/300 after      2 sec. |   1606.4 MiB | K   12 | loss  1.160827548e+00 | Ndiff    0.059 
   16.000/300 after      2 sec. |   1606.4 MiB | K   12 | loss  1.160827494e+00 | Ndiff    0.042 
   17.000/300 after      2 sec. |   1606.4 MiB | K   12 | loss  1.160827461e+00 | Ndiff    0.029 
   18.000/300 after      2 sec. |   1606.4 MiB | K   12 | loss  1.160827441e+00 | Ndiff    0.029 
   19.000/300 after      2 sec. |   1606.4 MiB | K   12 | loss  1.160827428e+00 | Ndiff    0.023 
   20.000/300 after      2 sec. |   1606.4 MiB | K   12 | loss  1.160827419e+00 | Ndiff    0.016 
   21.000/300 after      2 sec. |   1606.4 MiB | K   12 | loss  1.160827414e+00 | Ndiff    0.017 
   22.000/300 after      3 sec. |   1606.4 MiB | K   12 | loss  1.160827411e+00 | Ndiff    0.013 
   23.000/300 after      3 sec. |   1606.4 MiB | K   12 | loss  1.160827408e+00 | Ndiff    0.007 
   24.000/300 after      3 sec. |   1606.4 MiB | K   12 | loss  1.160827407e+00 | Ndiff    0.009 
... done. converged.
WARNING: Found unrecognized keyword args. These are ignored.
  --gamma1
Dataset Summary:
X Data
  total size: 5000 units
  batch size: 1000 units
  num. batches: 5
Allocation Model:  DP mixture with K=0. Concentration gamma0= 5.00
Obs. Data  Model:  Gaussian with full covariance.
Obs. Data  Prior:  Gauss-Wishart on mean and covar of each cluster
  E[  mean[k] ] = 
   [0. 0.]  ...
  E[ covar[k] ] = 
  [[0.1 0. ]
   [0.  0.1]] ...
Initialization:
  initname = /home/zifeng/Research/DPVAE/mnist_results_new8/Kmax50mnistepoch10batch_iter3scale0.005bs5000rep2sf0.1/1
  K = 1 (number of clusters)
  seed = 1607680
  elapsed_time: 0.0 sec
Learn Alg: memoVB | task  1/1 | alg. seed: 1607680 | data order seed: 8541952
task_output_path: /home/zifeng/Research/DPVAE/mnist_results_new8/Kmax50mnistepoch10batch_iter3scale0.005bs5000rep2sf0.1/1
    0.200/300 after      0 sec. |   1636.3 MiB | K   12 | loss  1.416469720e+00 |  
    0.400/300 after      0 sec. |   1636.3 MiB | K   12 | loss  1.264347910e+00 |  
    0.600/300 after      0 sec. |   1636.3 MiB | K   12 | loss  1.217353115e+00 |  
    1.000/300 after      0 sec. |   1636.3 MiB | K   12 | loss  1.171469074e+00 |  
    2.000/300 after      0 sec. |   1636.3 MiB | K   12 | loss  1.170133923e+00 | Ndiff    3.321 
    3.000/300 after      0 sec. |   1636.3 MiB | K   12 | loss  1.169938106e+00 | Ndiff    1.274 
    4.000/300 after      0 sec. |   1636.3 MiB | K   12 | loss  1.169869168e+00 | Ndiff    0.557 
    5.000/300 after      1 sec. |   1636.3 MiB | K   12 | loss  1.169806595e+00 | Ndiff    0.546 
    6.000/300 after      1 sec. |   1636.3 MiB | K   12 | loss  1.169782502e+00 | Ndiff    0.366 
    7.000/300 after      1 sec. |   1636.3 MiB | K   12 | loss  1.169772407e+00 | Ndiff    0.405 
    8.000/300 after      1 sec. |   1636.3 MiB | K   12 | loss  1.169766387e+00 | Ndiff    0.356 
    9.000/300 after      1 sec. |   1636.3 MiB | K   12 | loss  1.169762755e+00 | Ndiff    0.258 
   10.000/300 after      1 sec. |   1636.3 MiB | K   12 | loss  1.169760300e+00 | Ndiff    0.226 
   11.000/300 after      1 sec. |   1636.3 MiB | K   12 | loss  1.169758609e+00 | Ndiff    0.203 
   12.000/300 after      1 sec. |   1636.3 MiB | K   12 | loss  1.169757295e+00 | Ndiff    0.116 
   13.000/300 after      1 sec. |   1636.3 MiB | K   12 | loss  1.169756267e+00 | Ndiff    0.150 
   14.000/300 after      2 sec. |   1636.3 MiB | K   12 | loss  1.169755428e+00 | Ndiff    0.091 
   15.000/300 after      2 sec. |   1636.3 MiB | K   12 | loss  1.169754707e+00 | Ndiff    0.082 
   16.000/300 after      2 sec. |   1636.3 MiB | K   12 | loss  1.169754099e+00 | Ndiff    0.071 
   17.000/300 after      2 sec. |   1636.3 MiB | K   12 | loss  1.169753625e+00 | Ndiff    0.068 
   18.000/300 after      2 sec. |   1636.3 MiB | K   12 | loss  1.169753270e+00 | Ndiff    0.059 
   19.000/300 after      2 sec. |   1636.3 MiB | K   12 | loss  1.169753033e+00 | Ndiff    0.042 
   20.000/300 after      2 sec. |   1636.3 MiB | K   12 | loss  1.169752891e+00 | Ndiff    0.034 
   21.000/300 after      2 sec. |   1636.3 MiB | K   12 | loss  1.169752813e+00 | Ndiff    0.026 
   22.000/300 after      3 sec. |   1636.3 MiB | K   12 | loss  1.169752769e+00 | Ndiff    0.020 
   23.000/300 after      3 sec. |   1636.3 MiB | K   12 | loss  1.169752744e+00 | Ndiff    0.012 
   24.000/300 after      3 sec. |   1636.3 MiB | K   12 | loss  1.169752731e+00 | Ndiff    0.013 
   25.000/300 after      3 sec. |   1636.3 MiB | K   12 | loss  1.169752723e+00 | Ndiff    0.008 
   26.000/300 after      3 sec. |   1636.3 MiB | K   12 | loss  1.169752719e+00 | Ndiff    0.008 
... done. converged.
